#   x         y(x)            y(x)^2      classical p(x)    V
   9.573 -0.93937737E-17  0.88242985E-34  0.00000000E+00   45.824356
   9.587 -0.83017460E-17  0.68918986E-34  0.00000000E+00   45.952089
   9.600 -0.73351757E-17  0.53804802E-34  0.00000000E+00   46.080000
   9.613 -0.64797903E-17  0.41987682E-34  0.00000000E+00   46.208089
   9.627 -0.57229199E-17  0.32751812E-34  0.00000000E+00   46.336356
   9.640 -0.50533192E-17  0.25536035E-34  0.00000000E+00   46.464800
   9.653 -0.44610086E-17  0.19900597E-34  0.00000000E+00   46.593422
   9.667 -0.39371333E-17  0.15501018E-34  0.00000000E+00   46.722222
   9.680 -0.34738374E-17  0.12067546E-34  0.00000000E+00   46.851200
   9.693 -0.30641520E-17  0.93890275E-35  0.00000000E+00   46.980356
   9.707 -0.27018957E-17  0.73002404E-35  0.00000000E+00   47.109689
   9.720 -0.23815858E-17  0.56719509E-35  0.00000000E+00   47.239200
   9.733 -0.20983594E-17  0.44031123E-35  0.00000000E+00   47.368889
   9.747 -0.18479035E-17  0.34147474E-35  0.00000000E+00   47.498756
   9.760 -0.16263922E-17  0.26451516E-35  0.00000000E+00   47.628800
   9.773 -0.14304312E-17  0.20461334E-35  0.00000000E+00   47.759022
   9.787 -0.12570084E-17  0.15800702E-35  0.00000000E+00   47.889422
   9.800 -0.11034498E-17  0.12176015E-35  0.00000000E+00   48.020000
   9.813 -0.96738005E-18  0.93582416E-36  0.00000000E+00   48.150756
   9.827 -0.84668762E-18  0.71687993E-36  0.00000000E+00   48.281689
   9.840 -0.73949353E-18  0.54685067E-36  0.00000000E+00   48.412800
   9.853 -0.64412337E-18  0.41489492E-36  0.00000000E+00   48.544089
   9.867 -0.55908239E-18  0.31257312E-36  0.00000000E+00   48.675556
   9.880 -0.48303305E-18  0.23332093E-36  0.00000000E+00   48.807200
   9.893 -0.41477492E-18  0.17203823E-36  0.00000000E+00   48.939022
   9.907 -0.35322646E-18  0.12476894E-36  0.00000000E+00   49.071022
   9.920 -0.29740864E-18  0.88451900E-37  0.00000000E+00   49.203200
   9.933 -0.24642986E-18  0.60727675E-37  0.00000000E+00   49.335556
   9.947 -0.19947225E-18  0.39789179E-37  0.00000000E+00   49.468089
   9.960 -0.15577896E-18  0.24267083E-37  0.00000000E+00   49.600800
   9.973 -0.11464226E-18  0.13142847E-37  0.00000000E+00   49.733689
   9.987 -0.75392394E-19  0.56840131E-38  0.00000000E+00   49.866756
  10.000 -0.37386855E-19  0.13977769E-38  0.00000000E+00   50.000000


